1,google.com,ns2.google.com.,216.239.34.10
2,netflix.com,ns-1372.awsdns-43.org.,205.251.197.92
3,api-global.netflix.com,api-global.geo.netflix.com.,api-global.us-west-2.prodaa.netflix.com.
4,microsoft.com,ns1.msft.net.,208.84.0.53
5,facebook.com,b.ns.facebook.com.,69.171.255.12
6,doubleclick.net,ns4.google.com.,216.239.38.10
7,g.doubleclick.net,ns2.google.com.,216.239.34.10
8,googleads.g.doubleclick.net,pagead46.l.doubleclick.net.,172.217.5.2
9,google-analytics.com,ns1.google.com.,216.239.32.10
10,clients4.google.com,clients.l.google.com.,172.217.8.174
11,apple.com,b.ns.apple.com.,17.253.207.1
12,www.googleapis.com,googleapis.l.google.com.,172.217.15.74
13,data.microsoft.com,asimovprod.azurewebsites.net.,waws-prod-bay-045.vip.azurewebsites.windows.net.
14,live.com,ns1.msft.net.,208.84.0.53
15,www.google-analytics.com,www-google-analytics.l.google.com.,172.217.5.14
16,www.facebook.com,star-mini.c10r.facebook.com.,31.13.69.228
17,ichnaea.netflix.com,ichnaea.geo.netflix.com.,ichnaea.us-west-2.prodaa.netflix.com.
18,fonts.googleapis.com,googleadapis.l.google.com.,172.217.4.74
19,googleusercontent.com,ns1.google.com.,216.239.32.10
20,googleadservices.com,ns4.google.com.,216.239.38.10
21,youtube.com,ns3.google.com.,216.239.36.10
22,amazonaws.com,u1.amazonaws.com.,156.154.64.10
23,www.googleadservices.com,pagead.l.doubleclick.net.,172.217.7.162
24,settings-win.data.microsoft.com,asimov-win.settings.data.microsoft.com.akadns.net.,geo.settings.data.microsoft.com.akadns.net.
25,googlesyndication.com,ns2.google.com.,216.239.34.10
26,graph.facebook.com,api.facebook.com.,star.c10r.facebook.com.
27,adservice.google.com,pagead46.l.doubleclick.net.,172.217.5.2
28,pagead2.googlesyndication.com,pagead46.l.doubleclick.net.,172.217.5.2
29,fbcdn.net,b.ns.facebook.com.,69.171.255.12
30,akamaiedge.net,a28-192.akamaiedge.net.,95.100.173.192
31,hola.org,ns-404.awsdns-50.com.,205.251.193.148
32,bing.com,ns3.msedge.net.,131.253.21.1
33,clients1.google.com,clients.l.google.com.,172.217.8.174
34,www.youtube.com,youtube-ui.l.google.com.,172.217.6.14
35,apis.google.com,plus.l.google.com.,172.217.4.78
36,xx.fbcdn.net,b.ns.xx.fbcdn.net.,69.171.255.11
37,ytimg.com,ns2.google.com.,216.239.34.10
38,icloud.com,b.ns.apple.com.,17.253.207.1
39,play.google.com,play.l.google.com.,172.217.8.174
40,www.apple.com,www.apple.com.edgekey.net.,www.apple.com.edgekey.net.globalredir.akadns.net.
41,yahoo.com,ns3.yahoo.com.,203.84.221.53
42,akadns.net,a7-131.akadns.net.,23.61.199.131
43,mtalk.google.com,mobile-gtalk.l.google.com.,74.125.126.188
44,digicert.com,ns11.dnsmadeeasy.com.,208.80.124.4
45,officeapps.live.com,onenote.officeapps.live.com.,onenote-afd.officeapplf.live.com.akadns.net.
46,vortex-win.data.microsoft.com,asimov-win.vortex.data.microsoft.com.akadns.net.,geo.vortex.data.microsoft.com.akadns.net.
47,stats.g.doubleclick.net,stats.l.doubleclick.net.,74.125.70.157
48,facebook.net,a.ns.facebook.com.,69.171.239.12
49,connect.facebook.net,scontent.xx.fbcdn.net.,31.13.69.203
50,skype.com,ns2.msft.net.,208.84.2.53
51,ocsp.digicert.com,cs9.wac.phicdn.net.,72.21.91.29
52,lh3.googleusercontent.com,googlehosted.l.googleusercontent.com.,172.217.8.161
53,i.ytimg.com,ytimg-edge-static.l.google.com.,172.217.0.22
54,itunes.apple.com,itunes-cdn.itunes-apple.com.akadns.net.,itunes.apple.com.edgekey.net.
55,push.apple.com,d.ns.apple.com.,204.26.57.1
56,twitter.com,ns3.p34.dynect.net.,208.78.71.34
57,msedge.net,ns1.msedge.net.,204.79.197.1
58,scorecardresearch.com,ns1-213.akam.net.,193.108.91.213
59,tpc.googlesyndication.com,pagead-googlehosted.l.google.com.,172.217.5.1
60,securepubads.g.doubleclick.net,partnerad.l.doubleclick.net.,172.217.4.66
61,msn.com,ns1.msft.net.,208.84.0.53
62,dsce9.akamaiedge.net,n6dsce9.akamaiedge.net.,24.143.193.244
63,play.googleapis.com,googleapis.l.google.com.,172.217.13.234
64,googletagmanager.com,ns4.google.com.,216.239.38.10
65,www.googletagmanager.com,www-googletagmanager.l.google.com.,172.217.5.8
66,ssl.google-analytics.com,ssl-google-analytics.l.google.com.,172.217.4.200
67,notifications.google.com,plus.l.google.com.,172.217.4.78
68,adnxs.com,ns2.gslb.com.,216.252.166.11
69,cm.g.doubleclick.net,pagead.l.doubleclick.net.,172.217.7.162
70,nexusrules.officeapps.live.com,prod.nexusrules.live.com.akadns.net.,52.109.88.36
71,l.google.com,ns4.google.com.,216.239.38.10
72,ls.apple.com,nserver2.apple.com.,17.254.0.59
73,clients2.google.com,clients.l.google.com.,172.217.8.174
74,v10.vortex-win.data.microsoft.com,v10-win.vortex.data.microsoft.com.akadns.net.,geo.vortex.data.microsoft.com.akadns.net.
75,office365.com,ns2.msft.net.,208.84.2.53
76,nrdp50-appboot.netflix.com,appboot.netflix.com.,appboot.geo.netflix.com.
77,ggpht.com,ns3.google.com.,216.239.36.10
78,apple-dns.net,b.ns.apple.com.,17.253.207.1
79,fe.apple-dns.net,ns-1124.awsdns-12.org.,205.251.196.100
80,time-ios.apple.com,time-ios.g.aaplimg.com.,17.253.24.125
81,edge.skype.com,edge-skype-com.s-0001.s-msedge.net.,s-0001.s-msedge.net.
82,android.clients.google.com,android.l.google.com.,216.58.216.206
83,crl.microsoft.com,crl.www.ms.akadns.net.,a1363.dscg.akamai.net.
84,ajax.googleapis.com,googleapis.l.google.com.,172.217.13.74
85,www.icloud.com,www-cdn.icloud.com.akadns.net.,www.icloud.com.edgekey.net.
86,googletagservices.com,ns3.google.com.,216.239.36.10
87,www.googletagservices.com,pagead46.l.doubleclick.net.,172.217.5.2
88,instagram.com,ns-1349.awsdns-40.org.,205.251.197.69
89,login.live.com,login.msa.akadns6.net.,ipv4.login.msa.akadns6.net.
90,2mdn.net,ns2.google.com.,216.239.34.10
91,config.edge.skype.com,s-0001.s-msedge.net.,13.107.3.128
92,nexus.officeapps.live.com,prod-w.nexus.live.com.akadns.net.,52.109.12.24
93,s0.2mdn.net,s0-2mdn-net.l.google.com.,172.217.4.70
94,secure.netflix.com,sha2.secure.netflix.edgekey.net.,e9471.dscd.akamaiedge.net.
95,client-office365-tas.msedge.net,afdo-tas-offload.trafficmanager.net.,vip5.afdorigin-prod-ln02.afdogw.com.
96,crashlytics.com,ns-1609.awsdns-09.co.uk.,205.251.198.73
97,cloudflare.com,ns3.cloudflare.com.,162.159.7.226
98,init-p01st.push.apple.com,init-p01st.push.apple.com.edgesuite.net.,a1441.g4.akamai.net.
99,www.bing.com,www-bing-com.a-0001.a-msedge.net.,a-0001.a-msedge.net.
100,demdex.net,ns205.adobe.net.,204.74.114.252
101,ad.doubleclick.net,dart.l.doubleclick.net.,172.217.5.6
102,rubiconproject.com,ns3.p14.dynect.net.,208.78.71.14
103,sb.scorecardresearch.com,sb.scorecardresearch.com.edgekey.net.,e1879.e7.akamaiedge.net.
104,symcd.com,u3.verisigndns.com.,69.36.145.33
105,outlook.office365.com,outlook.ha.office365.com.,outlook.ms-acdc.office.com.
106,googlevideo.com,ns3.google.com.,216.239.36.10
107,edge-mqtt.facebook.com,mqtt.c10r.facebook.com.,31.13.69.195
108,static.xx.fbcdn.net,scontent.xx.fbcdn.net.,31.13.69.203
109,ogs.google.com,www3.l.google.com.,172.217.5.14
110,aaplimg.com,d.ns.apple.com.,204.26.57.1
