IP address,DNS Packet Length,Response Status,Time
18.102.208.10,66,Refused,1525185252.265048
18.102.208.11,66,Refused,1525185252.2724354
18.102.208.15,66,Refused,1525185252.2781706
18.102.208.44,66,Refused,1525185252.2802608
18.102.208.52,66,Refused,1525185252.280683
18.111.54.7,66,Server Failure,1525185298.3582907
18.111.8.113,66,Server Failure,1525185298.4123285
18.111.37.15,66,Server Failure,1525185298.6674507
18.111.122.127,66,Server Failure,1525185299.8080192
18.111.120.192,66,Server Failure,1525185299.8312838
18.111.62.233,66,Server Failure,1525185300.255314
18.204.211.215,66,Refused,1525185250.65751
18.204.222.3,82,No Error,1525185250.8176944
18.204.232.188,66,Refused,1525185251.063427
18.204.241.139,82,No Error,1525185251.238366
18.204.244.107,66,Server Failure,1525185251.2621784
18.204.244.133,66,Refused,1525185251.2680318
18.204.241.233,66,No Error,1525185251.2944188
18.204.250.23,82,No Error,1525185251.3522863
18.204.253.230,66,Refused,1525185251.4146495
18.205.3.127,66,Refused,1525185251.5006323
18.205.0.63,66,No Error,1525185251.5159166
18.205.8.9,66,Refused,1525185251.5711038
18.205.15.41,66,Refused,1525185251.7204888
18.205.27.130,66,Refused,1525185252.0031471
18.205.68.149,66,Refused,1525185252.9423602
18.205.69.211,66,Refused,1525185252.9742765
18.205.74.228,82,No Error,1525185253.0931816
18.205.97.182,66,Refused,1525185253.6162589
18.205.122.123,66,Refused,1525185254.1897423
18.205.124.229,66,Refused,1525185254.245677
18.205.127.33,66,Refused,1525185254.2973433
18.205.127.135,66,Format Error,1525185254.3084478
18.205.141.194,66,Refused,1525185254.6333058
18.205.168.166,66,Refused,1525185255.240649
18.205.170.81,66,Refused,1525185255.2837427
18.205.170.229,66,Refused,1525185255.2921808
18.205.175.139,82,No Error,1525185255.41773
18.205.184.82,82,No Error,1525185255.7495253
18.205.198.21,66,Refused,1525185255.9147084
18.205.204.188,66,Refused,1525185256.0705054
18.205.225.139,82,No Error,1525185256.7511818
18.206.4.6,66,Refused,1525185257.3600357
18.204.217.182,66,Server Failure,1525185258.8916473
18.205.65.108,66,Server Failure,1525185261.3366036
18.208.9.217,66,Refused,1525185269.1887877
18.208.10.45,66,Refused,1525185269.1932156
18.208.10.27,66,Refused,1525185269.2022922
18.208.18.50,66,Server Failure,1525185269.3810635
18.208.23.92,66,Refused,1525185269.4983137
18.208.25.70,66,Refused,1525185269.5425491
18.208.37.134,66,Server Failure,1525185269.8324218
18.208.44.81,82,No Error,1525185269.9856222
18.208.51.225,66,Refused,1525185270.1674259
18.208.52.189,66,Refused,1525185270.1873193
18.208.59.190,66,Refused,1525185270.3524492
18.208.58.132,82,No Error,1525185270.515518
18.208.71.131,66,Refused,1525185270.6216164
18.208.71.135,66,Server Failure,1525185270.6274652
18.208.66.217,66,Refused,1525185270.6959324
18.208.83.39,66,Refused,1525185270.8908095
18.208.83.170,66,Refused,1525185270.90583
18.208.86.173,66,No Error,1525185271.036683
